group,model,trait,item,corrected_item_total_r
Human,Human,Extraversion,EXT1,0.6759836640864931
Human,Human,Extraversion,EXT2,0.6964881263277866
Human,Human,Extraversion,EXT3,0.6586257168900935
Human,Human,Extraversion,EXT4,0.7457539529248156
Human,Human,Extraversion,EXT5,0.726663609024358
Human,Human,Extraversion,EXT6,0.569496155481985
Human,Human,Extraversion,EXT7,0.7066442324488418
Human,Human,Extraversion,EXT8,0.5865299970838337
Human,Human,Extraversion,EXT9,0.6258235943816968
Human,Human,Extraversion,EXT10,0.6927607928304332
Human,Human,Emotional_Stability,EST1,0.6849152113698105
Human,Human,Emotional_Stability,EST2,0.5678258610355292
Human,Human,Emotional_Stability,EST3,0.5932123085895675
Human,Human,Emotional_Stability,EST4,0.44023205425662887
Human,Human,Emotional_Stability,EST5,0.48099606051737165
Human,Human,Emotional_Stability,EST6,0.6984441211948351
Human,Human,Emotional_Stability,EST7,0.677407054237501
Human,Human,Emotional_Stability,EST8,0.706306164365056
Human,Human,Emotional_Stability,EST9,0.6344244620449803
Human,Human,Emotional_Stability,EST10,0.6397718349428211
Human,Human,Agreeableness,AGR1,0.4990087152948126
Human,Human,Agreeableness,AGR2,0.5605742660842926
Human,Human,Agreeableness,AGR3,0.3423633806101561
Human,Human,Agreeableness,AGR4,0.7315595506772169
Human,Human,Agreeableness,AGR5,0.6457802057689386
Human,Human,Agreeableness,AGR6,0.5396364502850426
Human,Human,Agreeableness,AGR7,0.6473750958454967
Human,Human,Agreeableness,AGR8,0.5557334726931423
Human,Human,Agreeableness,AGR9,0.6546667708391367
Human,Human,Agreeableness,AGR10,0.4334547222144519
Human,Human,Conscientiousness,CSN1,0.5933481077059378
Human,Human,Conscientiousness,CSN2,0.5407860780422801
Human,Human,Conscientiousness,CSN3,0.35809693645468216
Human,Human,Conscientiousness,CSN4,0.5774971218930711
Human,Human,Conscientiousness,CSN5,0.5891763878666526
Human,Human,Conscientiousness,CSN6,0.6092218027167559
Human,Human,Conscientiousness,CSN7,0.5104508195872103
Human,Human,Conscientiousness,CSN8,0.4889571284780589
Human,Human,Conscientiousness,CSN9,0.5532197867418143
Human,Human,Conscientiousness,CSN10,0.41294544879040734
Human,Human,Openness,OPN1,0.5293585723501224
Human,Human,Openness,OPN2,0.5443343336854076
Human,Human,Openness,OPN3,0.49274578976046
Human,Human,Openness,OPN4,0.49002344251472024
Human,Human,Openness,OPN5,0.521531483233178
Human,Human,Openness,OPN6,0.483051280183658
Human,Human,Openness,OPN7,0.40827287012742197
Human,Human,Openness,OPN8,0.4799463688325651
Human,Human,Openness,OPN9,0.3174404146008887
Human,Human,Openness,OPN10,0.6119121379777477
AI,claude-haiku-4.5,Extraversion,EXT1,0.6001847974502927
AI,claude-haiku-4.5,Extraversion,EXT2,0.9644976667964918
AI,claude-haiku-4.5,Extraversion,EXT3,0.3127961774832347
AI,claude-haiku-4.5,Extraversion,EXT4,0.9489032043778921
AI,claude-haiku-4.5,Extraversion,EXT5,0.9597682773673254
AI,claude-haiku-4.5,Extraversion,EXT6,0.9574157770679919
AI,claude-haiku-4.5,Extraversion,EXT7,0.9476683270829978
AI,claude-haiku-4.5,Extraversion,EXT8,0.9333117781920397
AI,claude-haiku-4.5,Extraversion,EXT9,0.9634165234921354
AI,claude-haiku-4.5,Extraversion,EXT10,0.9049757771519983
AI,claude-haiku-4.5,Emotional_Stability,EST1,0.4675648080406291
AI,claude-haiku-4.5,Emotional_Stability,EST2,0.5296358561926874
AI,claude-haiku-4.5,Emotional_Stability,EST3,0.4260268255791923
AI,claude-haiku-4.5,Emotional_Stability,EST4,0.5316883315458101
AI,claude-haiku-4.5,Emotional_Stability,EST5,0.9247333169337616
AI,claude-haiku-4.5,Emotional_Stability,EST6,0.9278763650833121
AI,claude-haiku-4.5,Emotional_Stability,EST7,0.8074014264081695
AI,claude-haiku-4.5,Emotional_Stability,EST8,0.8993067232981672
AI,claude-haiku-4.5,Emotional_Stability,EST9,0.9278714270835751
AI,claude-haiku-4.5,Emotional_Stability,EST10,0.9155947056318957
AI,claude-haiku-4.5,Agreeableness,AGR1,0.44876399497990055
AI,claude-haiku-4.5,Agreeableness,AGR2,0.7502903116451334
AI,claude-haiku-4.5,Agreeableness,AGR3,0.7080826197017105
AI,claude-haiku-4.5,Agreeableness,AGR4,0.7502903116451334
AI,claude-haiku-4.5,Agreeableness,AGR5,0.539180227124456
AI,claude-haiku-4.5,Agreeableness,AGR6,0.7444409051743102
AI,claude-haiku-4.5,Agreeableness,AGR7,0.6488804618377885
AI,claude-haiku-4.5,Agreeableness,AGR8,0.5292707280097079
AI,claude-haiku-4.5,Agreeableness,AGR9,0.4116136631158237
AI,claude-haiku-4.5,Agreeableness,AGR10,0.13876427459582302
AI,claude-haiku-4.5,Conscientiousness,CSN1,0.9194913521865948
AI,claude-haiku-4.5,Conscientiousness,CSN2,0.894065861813792
AI,claude-haiku-4.5,Conscientiousness,CSN3,0.4071183543848018
AI,claude-haiku-4.5,Conscientiousness,CSN4,0.4465828164517227
AI,claude-haiku-4.5,Conscientiousness,CSN5,0.9006780994620068
AI,claude-haiku-4.5,Conscientiousness,CSN6,0.8383488187005227
AI,claude-haiku-4.5,Conscientiousness,CSN7,0.42137017705436375
AI,claude-haiku-4.5,Conscientiousness,CSN8,0.5417934052916393
AI,claude-haiku-4.5,Conscientiousness,CSN9,0.7553056640507229
AI,claude-haiku-4.5,Conscientiousness,CSN10,0.8612102753768313
AI,claude-haiku-4.5,Openness,OPN1,0.7651255955783551
AI,claude-haiku-4.5,Openness,OPN2,0.5182204168644353
AI,claude-haiku-4.5,Openness,OPN3,0.5301289912825345
AI,claude-haiku-4.5,Openness,OPN4,0.5150860419382883
AI,claude-haiku-4.5,Openness,OPN5,0.7980032321810533
AI,claude-haiku-4.5,Openness,OPN6,0.2161458498223796
AI,claude-haiku-4.5,Openness,OPN7,0.7007932706251361
AI,claude-haiku-4.5,Openness,OPN8,0.5380243198706988
AI,claude-haiku-4.5,Openness,OPN9,0.5267863065619308
AI,claude-haiku-4.5,Openness,OPN10,0.8057894528559469
AI,claude-sonnet-4.6,Extraversion,EXT1,
AI,claude-sonnet-4.6,Extraversion,EXT2,
AI,claude-sonnet-4.6,Extraversion,EXT3,
AI,claude-sonnet-4.6,Extraversion,EXT4,
AI,claude-sonnet-4.6,Extraversion,EXT5,
AI,claude-sonnet-4.6,Extraversion,EXT6,-0.02227880672362614
AI,claude-sonnet-4.6,Extraversion,EXT7,
AI,claude-sonnet-4.6,Extraversion,EXT8,0.023332230470819604
AI,claude-sonnet-4.6,Extraversion,EXT9,
AI,claude-sonnet-4.6,Extraversion,EXT10,0.026986091150317904
AI,claude-sonnet-4.6,Emotional_Stability,EST1,
AI,claude-sonnet-4.6,Emotional_Stability,EST2,
AI,claude-sonnet-4.6,Emotional_Stability,EST3,0.0021972662798364615
AI,claude-sonnet-4.6,Emotional_Stability,EST4,
AI,claude-sonnet-4.6,Emotional_Stability,EST5,
AI,claude-sonnet-4.6,Emotional_Stability,EST6,
AI,claude-sonnet-4.6,Emotional_Stability,EST7,
AI,claude-sonnet-4.6,Emotional_Stability,EST8,
AI,claude-sonnet-4.6,Emotional_Stability,EST9,0.002197266279836449
AI,claude-sonnet-4.6,Emotional_Stability,EST10,
AI,claude-sonnet-4.6,Agreeableness,AGR1,-0.00503645174090253
AI,claude-sonnet-4.6,Agreeableness,AGR2,0.29309155617667804
AI,claude-sonnet-4.6,Agreeableness,AGR3,
AI,claude-sonnet-4.6,Agreeableness,AGR4,0.2139067534858388
AI,claude-sonnet-4.6,Agreeableness,AGR5,0.11018720288691787
AI,claude-sonnet-4.6,Agreeableness,AGR6,
AI,claude-sonnet-4.6,Agreeableness,AGR7,0.23805214561876792
AI,claude-sonnet-4.6,Agreeableness,AGR8,
AI,claude-sonnet-4.6,Agreeableness,AGR9,
AI,claude-sonnet-4.6,Agreeableness,AGR10,-0.029004540877105252
AI,claude-sonnet-4.6,Conscientiousness,CSN1,0.5591458319190071
AI,claude-sonnet-4.6,Conscientiousness,CSN2,0.5591458319190071
AI,claude-sonnet-4.6,Conscientiousness,CSN3,
AI,claude-sonnet-4.6,Conscientiousness,CSN4,
AI,claude-sonnet-4.6,Conscientiousness,CSN5,
AI,claude-sonnet-4.6,Conscientiousness,CSN6,0.5591458319190071
AI,claude-sonnet-4.6,Conscientiousness,CSN7,0.14095001664150933
AI,claude-sonnet-4.6,Conscientiousness,CSN8,0.20777388492264645
AI,claude-sonnet-4.6,Conscientiousness,CSN9,0.04624068743715573
AI,claude-sonnet-4.6,Conscientiousness,CSN10,0.14816374294231627
AI,claude-sonnet-4.6,Openness,OPN1,
AI,claude-sonnet-4.6,Openness,OPN2,0.11824459213029823
AI,claude-sonnet-4.6,Openness,OPN3,
AI,claude-sonnet-4.6,Openness,OPN4,0.11824459213029823
AI,claude-sonnet-4.6,Openness,OPN5,
AI,claude-sonnet-4.6,Openness,OPN6,0.04302067225480412
AI,claude-sonnet-4.6,Openness,OPN7,
AI,claude-sonnet-4.6,Openness,OPN8,
AI,claude-sonnet-4.6,Openness,OPN9,0.019726963519606726
AI,claude-sonnet-4.6,Openness,OPN10,
AI,deepseek-v3.2,Extraversion,EXT1,0.7357380250602362
AI,deepseek-v3.2,Extraversion,EXT2,0.6744213803752438
AI,deepseek-v3.2,Extraversion,EXT3,0.6625037582484034
AI,deepseek-v3.2,Extraversion,EXT4,0.7486056045777527
AI,deepseek-v3.2,Extraversion,EXT5,0.7164206814137024
AI,deepseek-v3.2,Extraversion,EXT6,0.7611121354137456
AI,deepseek-v3.2,Extraversion,EXT7,0.729642715187463
AI,deepseek-v3.2,Extraversion,EXT8,0.7849777084595978
AI,deepseek-v3.2,Extraversion,EXT9,0.7693683304784917
AI,deepseek-v3.2,Extraversion,EXT10,0.7635006845833214
AI,deepseek-v3.2,Emotional_Stability,EST1,0.8438826706008056
AI,deepseek-v3.2,Emotional_Stability,EST2,0.8821075254729757
AI,deepseek-v3.2,Emotional_Stability,EST3,0.8553484674444843
AI,deepseek-v3.2,Emotional_Stability,EST4,0.8463521578416532
AI,deepseek-v3.2,Emotional_Stability,EST5,0.9012248863330037
AI,deepseek-v3.2,Emotional_Stability,EST6,0.8792249955529702
AI,deepseek-v3.2,Emotional_Stability,EST7,0.6993606542472451
AI,deepseek-v3.2,Emotional_Stability,EST8,0.797061202838855
AI,deepseek-v3.2,Emotional_Stability,EST9,0.8109250207422091
AI,deepseek-v3.2,Emotional_Stability,EST10,0.8689097756757924
AI,deepseek-v3.2,Agreeableness,AGR1,0.49986362026567227
AI,deepseek-v3.2,Agreeableness,AGR2,0.5834258529875299
AI,deepseek-v3.2,Agreeableness,AGR3,0.30752278347170797
AI,deepseek-v3.2,Agreeableness,AGR4,0.5726805085073315
AI,deepseek-v3.2,Agreeableness,AGR5,0.6638018761824337
AI,deepseek-v3.2,Agreeableness,AGR6,0.5519043827517071
AI,deepseek-v3.2,Agreeableness,AGR7,0.6873418602117236
AI,deepseek-v3.2,Agreeableness,AGR8,0.4735339395223044
AI,deepseek-v3.2,Agreeableness,AGR9,0.39606826518016175
AI,deepseek-v3.2,Agreeableness,AGR10,0.4246904842255988
AI,deepseek-v3.2,Conscientiousness,CSN1,0.7839757738019767
AI,deepseek-v3.2,Conscientiousness,CSN2,0.762295937138745
AI,deepseek-v3.2,Conscientiousness,CSN3,0.5267173159363232
AI,deepseek-v3.2,Conscientiousness,CSN4,0.6647368518254905
AI,deepseek-v3.2,Conscientiousness,CSN5,0.629988419499849
AI,deepseek-v3.2,Conscientiousness,CSN6,0.7463928509792453
AI,deepseek-v3.2,Conscientiousness,CSN7,0.5806455223274877
AI,deepseek-v3.2,Conscientiousness,CSN8,0.5787798954824066
AI,deepseek-v3.2,Conscientiousness,CSN9,0.6657261566381996
AI,deepseek-v3.2,Conscientiousness,CSN10,0.4987238764724863
AI,deepseek-v3.2,Openness,OPN1,0.5484818213099755
AI,deepseek-v3.2,Openness,OPN2,0.503472603511595
AI,deepseek-v3.2,Openness,OPN3,0.5191283647980809
AI,deepseek-v3.2,Openness,OPN4,0.5019469621366419
AI,deepseek-v3.2,Openness,OPN5,0.49609006743944534
AI,deepseek-v3.2,Openness,OPN6,0.5680606351692995
AI,deepseek-v3.2,Openness,OPN7,0.4869310053266252
AI,deepseek-v3.2,Openness,OPN8,0.4922205501700357
AI,deepseek-v3.2,Openness,OPN9,0.3339110551340452
AI,deepseek-v3.2,Openness,OPN10,0.6041138483587948
AI,gemini-3-flash-preview,Extraversion,EXT1,0.9869508340745826
AI,gemini-3-flash-preview,Extraversion,EXT2,0.9753227938014953
AI,gemini-3-flash-preview,Extraversion,EXT3,0.3097900621790977
AI,gemini-3-flash-preview,Extraversion,EXT4,0.9643479361842568
AI,gemini-3-flash-preview,Extraversion,EXT5,0.9282207643646557
AI,gemini-3-flash-preview,Extraversion,EXT6,0.9669535538348486
AI,gemini-3-flash-preview,Extraversion,EXT7,0.8652474632537561
AI,gemini-3-flash-preview,Extraversion,EXT8,0.9493761849556034
AI,gemini-3-flash-preview,Extraversion,EXT9,0.985134624621827
AI,gemini-3-flash-preview,Extraversion,EXT10,0.9730810795062066
AI,gemini-3-flash-preview,Emotional_Stability,EST1,0.606074092064624
AI,gemini-3-flash-preview,Emotional_Stability,EST2,0.40172406627668894
AI,gemini-3-flash-preview,Emotional_Stability,EST3,0.6987339443820358
AI,gemini-3-flash-preview,Emotional_Stability,EST4,0.39751673739871185
AI,gemini-3-flash-preview,Emotional_Stability,EST5,0.2522521712635343
AI,gemini-3-flash-preview,Emotional_Stability,EST6,0.1537546447845017
AI,gemini-3-flash-preview,Emotional_Stability,EST7,0.17286171531147135
AI,gemini-3-flash-preview,Emotional_Stability,EST8,0.4672413107234061
AI,gemini-3-flash-preview,Emotional_Stability,EST9,0.35054552860372923
AI,gemini-3-flash-preview,Emotional_Stability,EST10,0.6691469915632313
AI,gemini-3-flash-preview,Agreeableness,AGR1,0.6713417981398127
AI,gemini-3-flash-preview,Agreeableness,AGR2,0.2993406698609794
AI,gemini-3-flash-preview,Agreeableness,AGR3,
AI,gemini-3-flash-preview,Agreeableness,AGR4,0.32001746074351567
AI,gemini-3-flash-preview,Agreeableness,AGR5,0.7061644149069659
AI,gemini-3-flash-preview,Agreeableness,AGR6,0.08140027522940899
AI,gemini-3-flash-preview,Agreeableness,AGR7,0.656431506896769
AI,gemini-3-flash-preview,Agreeableness,AGR8,0.16264025400300422
AI,gemini-3-flash-preview,Agreeableness,AGR9,
AI,gemini-3-flash-preview,Agreeableness,AGR10,0.2690742280939685
