model,trait,n_used_human,n_used_ai,alpha_diff_ai_minus_human,alpha_diff_ci_low,alpha_diff_ci_high,alpha_perm_p,omega_diff_ai_minus_human,omega_diff_ci_low,omega_diff_ci_high,omega_perm_p,alpha_perm_p_fdr,omega_perm_p_fdr
claude-haiku-4.5,Extraversion,1500,1500,0.033001728584997725,0.017400521223196574,0.04446488159071734,0.0033222591362126247,0.07047829715215992,0.06519973825235126,0.07650730951966789,0.0033222591362126247,0.004026980771166818,0.003591631498608243
claude-haiku-4.5,Emotional_Stability,1500,1500,0.05149051049031761,0.04228137488178511,0.061470683945686055,0.0033222591362126247,0.050394708838041535,0.041506096440939486,0.05837815326448825,0.0033222591362126247,0.004026980771166818,0.003591631498608243
claude-haiku-4.5,Agreeableness,1500,1500,-0.06647088591752837,-0.17344766345358378,-0.00933217127917149,0.0033222591362126247,0.08950144643921432,0.06885950327483889,0.10370330020104299,0.0033222591362126247,0.004026980771166818,0.003591631498608243
claude-haiku-4.5,Conscientiousness,1500,1500,0.09729245294233813,0.08129335742894209,0.1140819628303584,0.0033222591362126247,0.11001735521665112,0.0936848306310822,0.12641678449178026,0.0033222591362126247,0.004026980771166818,0.003591631498608243
claude-haiku-4.5,Openness,1500,1500,0.024117123956160058,-0.019364903380766844,0.0594662500648049,0.09302325581395349,0.07510260748158248,0.04248923716200287,0.09181929836895994,0.0033222591362126247,0.10335917312661498,0.003591631498608243
claude-sonnet-4.6,Extraversion,1500,1500,-0.9068523325636788,-0.9133393060660486,-0.8989840350755273,0.0033222591362126247,,,,0.0033222591362126247,0.004026980771166818,0.003591631498608243
claude-sonnet-4.6,Emotional_Stability,1500,1500,-0.8868172179610251,-0.8949511745447796,-0.8778491627301577,0.0033222591362126247,,,,0.0033222591362126247,0.004026980771166818,0.003591631498608243
claude-sonnet-4.6,Agreeableness,1500,1500,-0.7717971507651993,-0.8739554926743867,-0.665505832908953,0.0033222591362126247,-0.17962058868727881,-0.280507387507785,-0.10405700941941216,0.0033222591362126247,0.004026980771166818,0.003591631498608243
claude-sonnet-4.6,Conscientiousness,1500,1500,-0.4072136052819269,-0.47466397362131274,-0.3482422670369529,0.0033222591362126247,,,,0.0033222591362126247,0.004026980771166818,0.003591631498608243
claude-sonnet-4.6,Openness,1500,1500,-0.8310904293731376,-0.8451892667326595,-0.8151573558561876,0.0033222591362126247,-0.8243237935684389,-0.8389073841341443,-0.8106533340716033,0.0033222591362126247,0.004026980771166818,0.003591631498608243
deepseek-v3.2,Extraversion,1500,1500,0.02810907211115332,0.019488662263964555,0.03832091146225923,0.0033222591362126247,0.030920570963581473,0.02136148474281314,0.03897639234080448,0.0033222591362126247,0.004026980771166818,0.003591631498608243
deepseek-v3.2,Emotional_Stability,1500,1500,0.08282945270790798,0.07444896194986417,0.09259424335134941,0.0033222591362126247,0.08277764243776387,0.07421655823448658,0.09294519477593434,0.0033222591362126247,0.004026980771166818,0.003591631498608243
deepseek-v3.2,Agreeableness,1500,1500,-0.014707389473977872,-0.033115929395795066,0.003151156527355171,0.013289036544850499,-0.015064673438002552,-0.032045324765891316,0.00014903188044295868,0.019933554817275746,0.015634160641000587,0.020982689281342892
deepseek-v3.2,Conscientiousness,1500,1500,0.0678736096292456,0.05339569076292852,0.0850470015510748,0.0033222591362126247,0.07114054781717616,0.05545645137498224,0.08826521277658585,0.0033222591362126247,0.004026980771166818,0.003591631498608243
deepseek-v3.2,Openness,1500,1500,0.008099692539180525,-0.008911241687830695,0.026294048236614298,0.3953488372093023,0.007328294465731133,-0.010591402717959783,0.024799759627878726,0.3920265780730897,0.41615667074663404,0.4020785416134254
gemini-3-flash-preview,Extraversion,1500,1500,0.06119560166971505,0.05374171778883115,0.06808013799341416,0.0033222591362126247,0.07124137891647064,0.06413624874275788,0.07738861359394664,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gemini-3-flash-preview,Emotional_Stability,1500,1500,-0.18492387010328903,-0.21033516436928607,-0.16052700069917847,0.0033222591362126247,-0.07928457515326992,-0.14486533748699243,-0.04607405212241097,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gemini-3-flash-preview,Agreeableness,1500,1500,-0.1624267718981095,-0.18766499145236598,-0.14302888687388463,0.0033222591362126247,-0.1517625506025937,-0.1800753776641749,-0.12305052756519737,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gemini-3-flash-preview,Conscientiousness,1500,1500,-0.5694428175900234,-0.6168959426330308,-0.5182365688160107,0.0033222591362126247,-0.4094093993093176,-0.4574644720142332,-0.32053234826841087,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gemini-3-flash-preview,Openness,1500,1500,-0.044807885450933616,-0.07713979902140486,-0.013752051124692126,0.0033222591362126247,-0.036915068467170076,-0.05946774023207081,0.012114167827164428,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gemini-3.1-flash-lite-preview,Extraversion,1500,1500,0.06768634494176806,0.05990239024197089,0.07522303843090546,0.0033222591362126247,0.07787517029303836,0.07031859565951529,0.08495657047003374,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gemini-3.1-flash-lite-preview,Emotional_Stability,1500,1500,0.012249872940985895,-0.00013121834813587804,0.024206306826554964,0.04983388704318937,0.020050914975090595,0.0070066080111333365,0.03304718690313426,0.0033222591362126247,0.05695301376364499,0.003591631498608243
gemini-3.1-flash-lite-preview,Agreeableness,1500,1500,0.03589109171495919,0.018628600372917987,0.050213125636127086,0.0033222591362126247,0.04185390486083762,0.028095256076829663,0.05883898231778819,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gemini-3.1-flash-lite-preview,Conscientiousness,1500,1500,-0.04036375823551919,-0.06136653868712931,-0.018612936658703994,0.0033222591362126247,-0.03257843755304268,-0.05843190499646919,-0.01130653226170512,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gemini-3.1-flash-lite-preview,Openness,1500,1500,0.006075346152292327,-0.018844488800992893,0.02951495535738947,0.6910299003322259,0.05277212817664856,0.03591071576281464,0.07142659481562477,0.0033222591362126247,0.6910299003322259,0.003591631498608243
gpt-5.4,Extraversion,1500,1500,0.041318252563156466,0.03136000704143294,0.04985762125094981,0.0033222591362126247,,,,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4,Emotional_Stability,1500,1500,0.09767388910851194,0.08957246322334966,0.10683982929863596,0.0033222591362126247,0.10037375168093432,0.09255321270598307,0.109851706680896,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4,Agreeableness,1500,1500,-0.2981857117277792,-0.3228002682805048,-0.2711987912899711,0.0033222591362126247,-0.2564475528030309,-0.3017046383175351,-0.22320548987200323,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4,Conscientiousness,1500,1500,-0.14950825436415682,-0.17236716959288848,-0.12327540379335072,0.0033222591362126247,-0.12761493509081956,-0.19633288553512848,-0.08345911811721644,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4,Openness,1500,1500,0.01788859259149167,0.0022867838697498144,0.034333113078979315,0.1362126245847176,0.0025176147969173668,-0.011999758192158535,0.03599859440632363,0.8106312292358804,0.14725689144293796,0.8106312292358804
gpt-5.4-mini,Extraversion,1500,1500,0.036878872604558466,0.02646660556165497,0.045022701005288934,0.0033222591362126247,0.040322089676659956,0.029433687654448218,0.04960529665055901,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4-mini,Emotional_Stability,1500,1500,0.0711749002335651,0.05836649479769063,0.08403421224353808,0.0033222591362126247,0.08079152839198356,0.07003924542108228,0.09068435000489365,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4-mini,Agreeableness,1500,1500,-0.055628365752394715,-0.12052387135662114,-0.009107329539287468,0.0033222591362126247,,0.051237806162795,0.10378236051380642,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4-mini,Conscientiousness,1500,1500,0.004181121520913322,-0.09560361810732422,0.05439372785218513,0.6578073089700996,,,,0.0033222591362126247,0.674674163046256,0.003591631498608243
gpt-5.4-mini,Openness,1500,1500,-0.07555802782377641,-0.14701876077382836,-0.028655162572663796,0.0033222591362126247,,,,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4-nano,Extraversion,1500,1500,0.0366739466272219,0.031076134708065452,0.04322380577122482,0.0033222591362126247,0.04004161723744171,0.032876071048859166,0.04844459569632399,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4-nano,Emotional_Stability,1500,1500,0.04298840832105455,0.033185702007599474,0.052212070021386066,0.0033222591362126247,0.04892813496832071,0.039587563969738206,0.05910049678782087,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4-nano,Agreeableness,1500,1500,-0.5807552480624534,-0.6426385053868353,-0.5229605649148606,0.0033222591362126247,-0.5192358408206292,-0.5640307179629188,-0.47274035238877904,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4-nano,Conscientiousness,1500,1500,-0.6139240149625704,-0.6811672732142334,-0.5531442128694202,0.0033222591362126247,-0.5028325094271879,-0.5628801464480634,-0.4451138317611923,0.0033222591362126247,0.004026980771166818,0.003591631498608243
gpt-5.4-nano,Openness,1500,1500,-0.603607281492689,-0.6858223157606991,-0.531974509074198,0.0033222591362126247,-0.4298227533461068,-0.5010249751902811,-0.3671063108583577,0.0033222591362126247,0.004026980771166818,0.003591631498608243
